,iso6393,language,languageLabel,nativeSpeakers,totalSpeakers,ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Level,Countries,Family_ID,Language_ID_x,Closest_ISO369P3code,First_Year_Of_Documentation,Last_Year_Of_Documentation,Is_Isolate,Language_ID_y,classification,path,top_family_id,first_subfamily_id,top_family,top_family_level,first_subfamily,first_subfamily_level,mainScript
191,shu,http://www.wikidata.org/entity/Q56497,Shuwa,2600000,,chad1249,Chadian Arabic,Africa,14.67,13.5,chad1249,shu,language,CM;NE;NG;TD,afro1255,,shu,,,False,chad1249,afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251/egyp1254/suda1235,"['afro1255', 'semi1276', 'west2786', 'cent2236', 'arab1394', 'arab1395', 'egyp1251', 'egyp1254', 'suda1235']",afro1255,semi1276,Afro-Asiatic,family,Semitic,family,Arab
192,glk,http://www.wikidata.org/entity/Q33657,Gilaki,2550000,,gila1241,Gilaki,Eurasia,37.1344,49.8359,gila1241,glk,language,IR,indo1319,,glk,,,False,gila1241,indo1319/clas1257/indo1320/iran1271/iran1269/cent2317/cent2318/nort3177/casp1236/gila1242,"['indo1319', 'clas1257', 'indo1320', 'iran1271', 'iran1269', 'cent2317', 'cent2318', 'nort3177', 'casp1236', 'gila1242']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,Arab
193,cpx,http://www.wikidata.org/entity/Q56583,Pu-Xian Min,2500000,,puxi1243,Pu-Xian Chinese,Eurasia,25.37,118.68,puxi1243,cpx,language,CN,sino1245,,cpx,,,False,puxi1243,sino1245/sini1245/minn1248/coas1318/sout3421,"['sino1245', 'sini1245', 'minn1248', 'coas1318', 'sout3421']",sino1245,sini1245,Sino-Tibetan,family,Sinitic,family,Latn
194,bcl,http://www.wikidata.org/entity/Q33284,Central Bikol,2500000,,cent2087,Coastal-Naga Bikol,Papunesia,13.7574,123.403,cent2087,bcl,language,PH,aust1307,,bcl,,,False,cent2087,aust1307/mala1545/grea1284/cent2246/biko1240/coas1315,"['aust1307', 'mala1545', 'grea1284', 'cent2246', 'biko1240', 'coas1315']",aust1307,mala1545,Austronesian,family,Malayo-Polynesian,family,
195,slv,http://www.wikidata.org/entity/Q9063,Slovene,2400000,,slov1268,Slovenian,Eurasia,46.2543,14.7766,slov1268,slv,language,AT;HR;HU;IT;SI,indo1319,,slv,,,False,slov1268,indo1319/clas1257/balt1263/slav1255/sout3147/west2804,"['indo1319', 'clas1257', 'balt1263', 'slav1255', 'sout3147', 'west2804']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
196,pam,http://www.wikidata.org/entity/Q36121,Kapampangan,2400000,,pamp1243,Pampanga,Papunesia,14.9603,120.502,pamp1243,pam,language,PH,aust1307,,pam,,,False,pamp1243,aust1307/mala1545/cent2080,"['aust1307', 'mala1545', 'cent2080']",aust1307,mala1545,Austronesian,family,Malayo-Polynesian,family,Latn
197,glg,http://www.wikidata.org/entity/Q9307,Galician,2400000,,gali1258,Galician,Eurasia,42.2446,-7.5343,gali1258,glg,language,ES;PT,indo1319,,glg,,,False,gali1258,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/gali1263,"['indo1319', 'clas1257', 'ital1284', 'lati1262', 'lati1263', 'impe1234', 'roma1334', 'ital1285', 'west2813', 'shif1234', 'sout3183', 'west2838', 'gali1263']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
198,sus,http://www.wikidata.org/entity/Q33990,Susu,2400000,,susu1250,Susu,Africa,10.4046,-13.3628,susu1250,sus,language,GN;GW;SL;SN,mand1469,,sus,,,False,susu1250,mand1469/west2780/mand1431/cent2047/susu1249,"['mand1469', 'west2780', 'mand1431', 'cent2047', 'susu1249']",mand1469,west2780,Mande,family,Western Mande,family,Latn
199,cgg,http://www.wikidata.org/entity/Q3270727,Kiga,2390000,,chig1238,Chiga,Africa,-1.04387,29.9122,chig1238,cgg,language,CD;RW;UG,atla1278,,cgg,,,False,chig1238,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/nkor1240/nkor1241,"['atla1278', 'volt1241', 'benu1247', 'bant1294', 'sout3152', 'narr1281', 'east2731', 'nort3203', 'grea1289', 'west2841', 'ruta1242', 'nort3228', 'nkor1240', 'nkor1241']",atla1278,volt1241,Atlantic-Congo,family,Volta-Congo,family,Latn
200,nyn,http://www.wikidata.org/entity/Q13207,Runyankole,2300000,,nyan1307,Nyankole,Africa,-0.46364,30.548,nyan1307,nyn,language,RW;TZ;UG,atla1278,,nyn,,,False,nyan1307,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/nkor1240/nkor1241,"['atla1278', 'volt1241', 'benu1247', 'bant1294', 'sout3152', 'narr1281', 'east2731', 'nort3203', 'grea1289', 'west2841', 'ruta1242', 'nort3228', 'nkor1240', 'nkor1241']",atla1278,volt1241,Atlantic-Congo,family,Volta-Congo,family,Latn
